[+      0ms] AutoHintDetectionProbe — wayfinder #45 detection spike (THROWAWAY)
[+      1ms] Logging to: C:\Users\knausj\git\Windows-Hinting\prototype\AutoHintDetectionProbe\auto-hint-detection-probe.log
[+      1ms] 
[+      1ms] Manual test checklist — open each, watch which events fire + the classify line:
[+      1ms]   v1 catalog:  Start menu · Search · Notification Center · Control Center ·
[+      1ms]                System-tray overflow · taskbar jump list (right-click a pinned app) ·
[+      1ms]                Task View · Snap Assist (Win+Z / drag-snap) ·
[+      1ms]                shell context menu (right-click desktop) · a Win11 XAML flyout
[+      1ms]   MenuOpened matrix — open a menu bar / context menu in EACH and note if UIA fires:
[+      1ms]                VS Code · GitHub Desktop · Visual Studio · File Explorer
[+      1ms]   Round 2 (COM): also watch UIA-COM Win.WindowOpened/Closed + MenuModeStart/End
[+      1ms]                — focus the problem apps (VS Code, GitHub Desktop).
[+      1ms]   Round 3: WINEVENT OBJECT_FOCUS + UIA FocusChanged — does focus-changed give a
[+      1ms]                clean focused-element signal, incl. into VS Code's in-DOM menu?
[+      1ms]   #49 redraw spike (3 SIGNALS): on attach to the REAL Start root (via
[+      1ms]                WindowOpened(name='Start')) the probe now watches THREE streams and
[+      1ms]                tags each line SC / LAYOUT / SCROLL on one shared Δ cadence clock:
[+      1ms]                  SC     = StructureChanged (tree gained/lost nodes — virtualization-bound)
[+      1ms]                  LAYOUT = LayoutInvalidated (container re-laid-out its children)
[+      1ms]                  SCROLL = ScrollPattern V/H-ScrollPercent changed (visible offset moved)
[+      1ms]                (a) open START, note first SC/LAYOUT +latency vs the WindowOpened lag (readiness);
[+      1ms]                (b) click ALL APPS + SCROLL the list (stays in the Start root) — which stream
[+      1ms]                tracks the scroll, and is its cadence (Δ gaps) clean/debounce-able or thrash? (c) tid.
[+      1ms]                NOTE: typing → results move to the SearchHost window (separate root, not
[+      1ms]                watched here). Manual override: type 'attach' / 'detach' + Enter.
[+      1ms]   Tip: type a label + Enter (e.g. 'START MENU') right before opening it to mark the log.
[+      1ms]   Ctrl+C to quit.
[+      1ms] 
[+      2ms] WinEvent hooks installed: system=True object=True focus=True
[+     64ms] UIA (managed) MenuOpened/MenuClosed handlers registered: True
[+     91ms] UIA (COM) WindowOpened/Closed + MenuModeStart/End handlers registered: True
[+    101ms] UIA (managed) FocusChanged handler registered: True
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+    101ms] READY. Open a surface, or type a label + Enter to drop a MARK divider.
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+  12800ms] ════════════ MARK: ALLAPPS2 ════════════
[+  15206ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15221ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15227ms] WINEVENT SYSTEM_FOREGROUND      lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15243ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15292ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  15300ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+  15308ms] SC     #1   ChildAdded           +    12ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+  15566ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15567ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16159ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16239ms] SC     #2   ChildRemoved         +   944ms (Δ  932ms) tid=6 ctl=Pane name='CoreInput' rid.len=2
[+  16248ms] SC     #3   ChildRemoved         +   952ms (Δ    8ms) tid=6 ctl=Pane name='Search' rid.len=2
[+  16248ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  18857ms] SCROLL #41  V-Scroll%            +  3562ms (Δ   16ms) tid=7 val=12.980175229053604 ctl=List
[+  18890ms] SCROLL #42  V-Scroll%            +  3595ms (Δ   33ms) tid=7 val=13.449022498131418 ctl=List
[+  18923ms] SCROLL #43  V-Scroll%            +  3628ms (Δ   33ms) tid=7 val=13.82614090122514 ctl=List
[+  18956ms] SCROLL #44  V-Scroll%            +  3661ms (Δ   33ms) tid=7 val=14.090649322029767 ctl=List
[+  18989ms] SCROLL #45  V-Scroll%            +  3694ms (Δ   33ms) tid=7 val=14.256105134131678 ctl=List
[+  19005ms] SCROLL #46  V-Scroll%            +  3709ms (Δ   15ms) tid=7 val=14.300856843782498 ctl=List
[+  19022ms] SCROLL #47  V-Scroll%            +  3727ms (Δ   18ms) tid=7 val=14.323584168440465 ctl=List
[+  19039ms] SCROLL #48  V-Scroll%            +  3744ms (Δ   17ms) tid=7 val=14.324710776030157 ctl=List
[+  19344ms] SCROLL #49  V-Scroll%            +  4049ms (Δ  305ms) tid=7 val=15.014970552064376 ctl=List
[+  19359ms] SCROLL #50  V-Scroll%            +  4064ms (Δ   15ms) tid=7 val=15.343192598994216 ctl=List
[+  19373ms] SCROLL #51  V-Scroll%            +  4078ms (Δ   14ms) tid=7 val=15.902191483430554 ctl=List
[+  19406ms] SCROLL #52  V-Scroll%            +  4111ms (Δ   33ms) tid=7 val=16.358684944917457 ctl=List
[+  19439ms] SCROLL #53  V-Scroll%            +  4144ms (Δ   33ms) tid=7 val=16.554292584370533 ctl=List
[+  19456ms] SCROLL #54  V-Scroll%            +  4161ms (Δ   17ms) tid=7 val=16.858060899519042 ctl=List
[+  19489ms] SCROLL #55  V-Scroll%            +  4194ms (Δ   33ms) tid=7 val=17.06244814431545 ctl=List
[+  19523ms] SCROLL #56  V-Scroll%            +  4227ms (Δ   33ms) tid=7 val=17.12920361093283 ctl=List
[+  19539ms] SCROLL #57  V-Scroll%            +  4244ms (Δ   17ms) tid=7 val=17.168176299679903 ctl=List
[+  19555ms] SCROLL #58  V-Scroll%            +  4260ms (Δ   16ms) tid=7 val=17.49591755492006 ctl=List
[+  19572ms] SCROLL #59  V-Scroll%            +  4277ms (Δ   17ms) tid=7 val=17.767139604896496 ctl=List
[+  19591ms] SCROLL #60  V-Scroll%            +  4296ms (Δ   19ms) tid=7 val=18.344549796182406 ctl=List
[+  19622ms] SCROLL #61  V-Scroll%            +  4327ms (Δ   31ms) tid=7 val=18.901516026643538 ctl=List
[+  19638ms] SCROLL #62  V-Scroll%            +  4343ms (Δ   16ms) tid=7 val=19.16037712855843 ctl=List
[+  19655ms] SCROLL #63  V-Scroll%            +  4360ms (Δ   17ms) tid=7 val=19.393170752327602 ctl=List
[+  19688ms] SCROLL #64  V-Scroll%            +  4393ms (Δ   33ms) tid=7 val=19.75685713676394 ctl=List
[+  19722ms] SCROLL #65  V-Scroll%            +  4427ms (Δ   34ms) tid=7 val=19.99216737974051 ctl=List
[+  19756ms] SCROLL #66  V-Scroll%            +  4461ms (Δ   34ms) tid=7 val=20.07019368256857 ctl=List
[+  19925ms] SCROLL #67  V-Scroll%            +  4630ms (Δ  169ms) tid=7 val=20.638114981761017 ctl=List
[+  19940ms] SCROLL #68  V-Scroll%            +  4645ms (Δ   15ms) tid=7 val=20.975952862484565 ctl=List
[+  19956ms] SCROLL #69  V-Scroll%            +  4661ms (Δ   16ms) tid=7 val=21.26896128176589 ctl=List
[+  19972ms] SCROLL #70  V-Scroll%            +  4677ms (Δ   16ms) tid=7 val=21.553697862504876 ctl=List
[+  19989ms] SCROLL #71  V-Scroll%            +  4694ms (Δ   17ms) tid=7 val=21.811162605717048 ctl=List
[+  20005ms] SCROLL #72  V-Scroll%            +  4710ms (Δ   16ms) tid=7 val=22.233789608349312 ctl=List
[+  20039ms] SCROLL #73  V-Scroll%            +  4743ms (Δ   33ms) tid=7 val=22.55573121465943 ctl=List
[+  20073ms] SCROLL #74  V-Scroll%            +  4778ms (Δ   35ms) tid=7 val=22.783318641947226 ctl=List
[+  20107ms] SCROLL #75  V-Scroll%            +  4812ms (Δ   34ms) tid=7 val=22.85411085463246 ctl=List
[+  20122ms] SCROLL #76  V-Scroll%            +  4827ms (Δ   15ms) tid=7 val=22.927727520148185 ctl=List
[+  20156ms] SCROLL #77  V-Scroll%            +  4861ms (Δ   34ms) tid=7 val=22.929936305732483 ctl=List
[+  20448ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  20489ms] SCROLL #78  V-Scroll%            +  5194ms (Δ  333ms) tid=7 val=23.308092457225726 ctl=List
[+  20505ms] SCROLL #79  V-Scroll%            +  5210ms (Δ   16ms) tid=7 val=23.640257630719486 ctl=List
[+  20522ms] SCROLL #80  V-Scroll%            +  5227ms (Δ   17ms) tid=7 val=23.9668738651412 ctl=List
[+  20539ms] SCROLL #81  V-Scroll%            +  5244ms (Δ   17ms) tid=7 val=24.266105601277136 ctl=List
[+  20556ms] SCROLL #82  V-Scroll%            +  5260ms (Δ   16ms) tid=7 val=24.52274839698021 ctl=List
[+  20572ms] SCROLL #83  V-Scroll%            +  5277ms (Δ   17ms) tid=7 val=24.98831184294976 ctl=List
[+  20590ms] SCROLL #84  V-Scroll%            +  5295ms (Δ   18ms) tid=7 val=25.17019391106363 ctl=List
[+  20607ms] SCROLL #85  V-Scroll%            +  5312ms (Δ   17ms) tid=7 val=25.337585584094306 ctl=List
[+  20623ms] SCROLL #86  V-Scroll%            +  5328ms (Δ   16ms) tid=7 val=25.478494044910956 ctl=List
[+  20655ms] SCROLL #87  V-Scroll%            +  5360ms (Δ   32ms) tid=7 val=25.587035545707135 ctl=List
[+  20672ms] SCROLL #88  V-Scroll%            +  5376ms (Δ   16ms) tid=7 val=25.740565185070842 ctl=List
[+  20689ms] SCROLL #89  V-Scroll%            +  5394ms (Δ   18ms) tid=7 val=25.776648363366046 ctl=List
[+  20723ms] SCROLL #90  V-Scroll%            +  5428ms (Δ   34ms) tid=7 val=25.7896789288964 ctl=List
[+  21777ms] SCROLL #91  V-Scroll%            +  6482ms (Δ 1054ms) tid=7 val=26.398753140537664 ctl=List
[+  21791ms] SCROLL #92  V-Scroll%            +  6496ms (Δ   14ms) tid=7 val=26.733392090414988 ctl=List
[+  21807ms] SCROLL #93  V-Scroll%            +  6511ms (Δ   15ms) tid=7 val=27.02336501628916 ctl=List
[+  21824ms] SCROLL #94  V-Scroll%            +  6529ms (Δ   18ms) tid=7 val=27.559154197606592 ctl=List
[+  21840ms] SCROLL #95  V-Scroll%            +  6544ms (Δ   15ms) tid=7 val=27.773733274161575 ctl=List
[+  21873ms] SCROLL #96  V-Scroll%            +  6578ms (Δ   34ms) tid=7 val=28.150851677255297 ctl=List
[+  21889ms] SCROLL #97  V-Scroll%            +  6594ms (Δ   16ms) tid=7 val=28.299535317212076 ctl=List
[+  21905ms] SCROLL #98  V-Scroll%            +  6610ms (Δ   16ms) tid=7 val=28.415360098059924 ctl=List
[+  21938ms] SCROLL #99  V-Scroll%            +  6643ms (Δ   33ms) tid=7 val=28.580815910161835 ctl=List
[+  21971ms] SCROLL #100 V-Scroll%            +  6676ms (Δ   33ms) tid=7 val=28.648294944470624 ctl=List
[+  22006ms] SCROLL #101 V-Scroll%            +  6710ms (Δ   34ms) tid=7 val=28.649421552060314 ctl=List
[+  22261ms] SCROLL #102 V-Scroll%            +  6966ms (Δ  256ms) tid=7 val=29.29927419813467 ctl=List
[+  22273ms] SCROLL #103 V-Scroll%            +  6978ms (Δ   12ms) tid=7 val=29.63070945685201 ctl=List
[+  22289ms] SCROLL #104 V-Scroll%            +  6994ms (Δ   16ms) tid=7 val=29.934776084996102 ctl=List
[+  22306ms] SCROLL #105 V-Scroll%            +  7011ms (Δ   17ms) tid=7 val=30.447027101545235 ctl=List
[+  22340ms] SCROLL #106 V-Scroll%            +  7045ms (Δ   34ms) tid=7 val=30.671053814141104 ctl=List
[+  22357ms] SCROLL #107 V-Scroll%            +  7061ms (Δ   16ms) tid=7 val=31.280999163200313 ctl=List
[+  22374ms] SCROLL #108 V-Scroll%            +  7079ms (Δ   18ms) tid=7 val=32.040621471020735 ctl=List
[+  22407ms] SCROLL #109 V-Scroll%            +  7111ms (Δ   32ms) tid=7 val=32.39255781432796 ctl=List
[+  22422ms] SCROLL #110 V-Scroll%            +  7127ms (Δ   16ms) tid=7 val=32.74852773016053 ctl=List
[+  22441ms] SCROLL #111 V-Scroll%            +  7146ms (Δ   19ms) tid=7 val=33.36290651810087 ctl=List
[+  22455ms] SCROLL #112 V-Scroll%            +  7160ms (Δ   14ms) tid=7 val=33.63130570201807 ctl=List
[+  22472ms] SCROLL #113 V-Scroll%            +  7177ms (Δ   17ms) tid=7 val=33.86277754533342 ctl=List
[+  22506ms] SCROLL #114 V-Scroll%            +  7210ms (Δ   33ms) tid=7 val=34.19799249317561 ctl=List
[+  22539ms] SCROLL #115 V-Scroll%            +  7244ms (Δ   34ms) tid=7 val=34.30836195445535 ctl=List
[+  22556ms] SCROLL #116 V-Scroll%            +  7261ms (Δ   17ms) tid=7 val=34.394904458598724 ctl=List
[+  24180ms] SC     #4   ChildAdded           +  8884ms (Δ 1623ms) tid=7 ctl=Button name='Vertical Small Decrease' rid.len=0
[+  24185ms] SC     #5   ChildAdded           +  8889ms (Δ    5ms) tid=7 ctl=Button name='Vertical Small Decrease' rid.len=0
[+  24189ms] SC     #6   ChildAdded           +  8894ms (Δ    5ms) tid=7 ctl=Button name='Vertical Large Decrease' rid.len=0
[+  24191ms] SC     #7   ChildAdded           +  8896ms (Δ    2ms) tid=7 ctl=Button name='Vertical Large Increase' rid.len=0
[+  24193ms] SC     #8   ChildAdded           +  8898ms (Δ    2ms) tid=7 ctl=Button name='Vertical Small Increase' rid.len=0
[+  24195ms] SC     #9   ChildAdded           +  8899ms (Δ    1ms) tid=7 ctl=Button name='Vertical Small Increase' rid.len=0
[+  24459ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101B0 class='Windows.UI.Core.CoreWindow' title='Start' proc=StartMenuExperienceHost(7052)
            focus: ctl=Pane name='' | parent: ctl= name=''
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+  24482ms] WINEVENT OBJECT_FOCUS           lat=   0ms hwnd=0x000101B0 class='Windows.UI.Core.CoreWindow' title='Start' proc=StartMenuExperienceHost(7052)
            focus: ctl=ListItem name='Accessibility folder, Collapse…' | parent: ctl=Group name='A'
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+  24491ms] SCROLL #117 V-Scroll%            +  9196ms (Δ  297ms) tid=7 val=34.31101184114906 ctl=List
[+  24492ms] WINEVENT OBJECT_FOCUS           lat=  15ms hwnd=0x000101B0 class='Windows.UI.Core.CoreWindow' title='Start' proc=StartMenuExperienceHost(7052)
            focus: ctl=ListItem name='Accessibility folder, Collapse…' | parent: ctl=Group name='A'
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+  24494ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24497ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24500ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24504ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24506ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24508ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24551ms] SCROLL #118 V-Scroll%            +  9256ms (Δ   60ms) tid=7 val=34.2271192236994 ctl=List
[+  24557ms] SCROLL #119 V-Scroll%            +  9262ms (Δ    6ms) tid=7 val=34.14322660624974 ctl=List
[+  24560ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24561ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24561ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24563ms] UIA      FocusChanged            ctl=ListItem name='Accessibility folder, Collapse…' class='' proc=StartMenuExperienceHost(7052)
[+  24583ms] SCROLL #120 V-Scroll%            +  9288ms (Δ   26ms) tid=7 val=34.05933398880008 ctl=List
[+  24599ms] SCROLL #121 V-Scroll%            +  9304ms (Δ   16ms) tid=7 val=33.97544137135041 ctl=List
[+  24616ms] SCROLL #122 V-Scroll%            +  9320ms (Δ   16ms) tid=7 val=33.89154875390076 ctl=List
[+  24633ms] SCROLL #123 V-Scroll%            +  9338ms (Δ   18ms) tid=7 val=33.807656136451094 ctl=List
[+  24649ms] SCROLL #124 V-Scroll%            +  9354ms (Δ   16ms) tid=7 val=33.72376351900143 ctl=List
[+  24657ms] SC     #10  ChildAdded           +  9361ms (Δ    7ms) tid=7 ctl=50006 name='' rid.len=0
[+  24658ms] SC     #11  ChildRemoved         +  9363ms (Δ    2ms) tid=7 ctl=Button name='Search for apps, settings, and…' rid.len=1
[+  24666ms] SCROLL #125 V-Scroll%            +  9370ms (Δ    7ms) tid=7 val=33.63987090155177 ctl=List
[+  24682ms] SCROLL #126 V-Scroll%            +  9387ms (Δ   17ms) tid=7 val=33.47208566665244 ctl=List
